stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type
2760,P-0485,Prol. Pasteur Sur/Blvd. de Los Gobernadores,20.549592903662,-100.37744860008,0
2208,P-0487,Boulevard de Los Gobernadores/Luis Pasteur,20.5494845,-100.3775243,0
2853,P-1459,Blvd. de Los Gobernadores/Calle Josefa Ortiz de Domínguez,20.54864459,-100.379381,0
2854,P-1460,Blvd. de Los Gobernadores/Calle 6,20.54753588,-100.3817996,0
2855,P-1461,Ezequiel Montes Sur/Blvd. de Los Gobernadores,20.54717884,-100.3834753,0
2209,P-0483,Prol. Pasteur/Calle Espacio,20.551144218614,-100.38336905808,0
3225,P-1361,Vicente Guerrero/20 de Noviembre,20.74483584,-100.4508764,0
3274,P-1738,Moises Solano/San Elías,20.74452736,-100.3964344,0
2746,P-1112,Av. de la Luz/Ampliación Patría Nueva,20.6288669,-100.4762057,0
2747,P-1113,Av. de la Luz/Calle Bugambilias,20.62796101,-100.4787296,0
2748,P-1114,Av. de la Luz,20.62838453,-100.4845838,0
2749,P-1115,Av. de la Luz/Traffik Marketing,20.62581685,-100.489948,0
2750,P-1116,Av. de la Luz/Tres Cantos Residencial,20.622469,-100.494638,0
2718,P-1093,Av. Constitución/Calle Pohang,20.80069108,-100.44885,0
2719,P-1094,Av. Constitución/San Isidro Buenavista,20.78862194,-100.4508382,0
2720,P-1095,Av. Constitución/Calle Constitución,20.77877619,-100.4515698,0
2721,P-1096,Av. Constitución/Patio Jow Querétaro,20.76705648,-100.4470878,0
3301,P-1779,Av. Paseo Constituyentes/Prol. Cuauhtémoc,20.53189994,-100.4434721,0
1300,P-0081,Santa Bárbara,20.531918626296,-100.44061970847,0
1301,P-0136,Mega,20.5364697986,-100.43539509151,0
1302,P-0139,El Pueblito,20.538767598995,-100.43350684651,0
1761,P-0223,Av. Paseo Constituyentes/Camino A Los Olvera,20.540737386294,-100.43189466371,0
1303,P-0141,Pueblo Nuevo,20.543366740993,-100.42972318897,0
1304,P-0144,Tejeda,20.550430606221,-100.42388883063,0
1305,P-0146,Deportivo,20.555694483731,-100.41961630112,0
1306,P-0148,El Pocito,20.561447965259,-100.41484626886,0
1432,P-0166,Jardines,20.569495072147,-100.40824828897,0
1433,P-0168,Plaza de Toros,20.572864944686,-100.40545758225,0
2978,P-1064,Zaragoza,20.58210462,-100.4075288,0
2979,P-1065,Tlacote,20.58706617,-100.4125469,0
2980,P-1066,Universidad,20.59025185,-100.4135882,0
2981,P-1067,Río Querétaro,20.59583114,-100.4151744,0
2982,P-1068,Epigmenio González,20.60492664,-100.4177682,0
2983,P-1069,18 de Marzo,20.61259758,-100.4199457,0
2984,P-1070,Obrera,20.61879935,-100.4216893,0
2266,P-0755,5 de Febrero/Seat Ronda Automotriz,20.629835715239,-100.42551394709,0
2267,P-1600B,5 de Febrero/Acceso 3,20.639561596006,-100.42986267526,0
2604,P-1057,Av. 5 de Febrero/Acceso A,20.646052916685,-100.43075040559,0
3286,P-1768,Independencia Norte/Calle Cuauhtémoc,20.747623070255,-100.44533671155,0
2875,P-1256,Calle Portal de Samaniego/Santiago de la Frontera,20.65647051,-100.3932359,0
2182,P-0611,Portal de Samaniego/Calle Santiago de Querétaro,20.65416834,-100.393657,0
2876,P-1214,Calle Santiago de Querétaro/Portal de la Alegría,20.6545226,-100.3962505,0
2877,P-1241,Calle Santiago de Querétaro/ Calle Santiago de Mexquiquitlan,20.65483135,-100.3982376,0
2878,P-1243,Calle Santiago de Querétaro/Santiago del Oeste,20.65512233,-100.4000474,0
2879,P-1246,de la Concordia/Del Pueblo,20.65551271,-100.4023795,0
2228,P-1028,Patria,20.65335575,-100.4035937,0
2078,P-0722,de la Patria,20.65334110359,-100.40595042073,0
3500,P-1883,Privada Jacaranda,20.632449,-100.482521,0
3503,P-1986,Calle 3/ Canchas de Leyes,20.65499557,-100.4467437,0
3504,P-1987,Monte Alban/Montes Escandinavos,20.65372283,-100.4474628,0
3505,P-1988,Monte Alban/Calle Apeninos,20.65164202,-100.4473434,0
