route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
382,1,T14,Terminal De Autobuses (taq) - Pedro Escobedo - La Lira,3,e97936,000000
383,1,T15,Terminal Balvanera - Huimilpan,3,e97936,000000
384,1,M216,Av Pie De La Cuesta - Av Sombrerete - Av Zaragoza,3,6699cc,000000
385,1,M217,Av Zaragoza - Blvd Bernardo Quintana - Av Universidad,3,6699cc,000000
386,1,AIQ01,Alameda - Aeropuerto Internacional De Queretaro,3,00ffff,000000
388,1,M218,Santa Rosa Jauregui - La Versolilla,3,6699cc,000000
389,1,M219,Santa Rosa Jauregui - La Estacada,3,6699cc,000000
390,1,M220,Santa Catarina - Palo Alto,3,6699cc,000000
391,1,M221,Santa Catarina - La Gotera,3,6699cc,000000
392,1,M222,Santa Catarina - La Cienega,3,6699cc,000000
393,1,M223,Santa Catarina - La Palma,3,6699cc,000000
394,1,M224,Santa Catarina - Ojo De Agua,3,6699cc,000000
395,1,M225,Santa Catarina - La Cantera,3,6699cc,000000
396,1,T16,Lagunillas - Alameda,3,e97936,000000
397,1,C72,Fracc Viñedos - Prol Av Zaragoza,3,18b780,000000
398,1,R301,Hacienda Mompani - Alameda,3,ff0000,000000
399,1,R302,Uteq - Alameda,3,ff0000,000000
402,1,T03X,Prados Del Sol - Fracc Vistana,3,e97936,000000
403,1,T06X,Terminal De Autobuses (taq) - Juncos,3,e97936,000000
405,1,T09X,Blvd Peña Flor - Terminal De Autobuses (taq),3,e97936,000000
408,1,C73,Terminal Balvanera - Terminal De Autobuses (taq),3,18b780,000000
409,1,L164,Socavon - Mercado De La Cruz,3,f2ac32,000000
410,1,M214,Av De La Luz - Paseo San Miguel,3,6699cc,000000
411,1,M215,Azteca - Alameda,3,6699cc,000000
412,1,L112E,Bolaños - Lomas Del Marques,3,f2ac32,000000
413,1,L162,Santa Rosa Jauregui - Pintillo,3,f2ac32,000000
414,1,M226,La Tinaja De La Estancia - Tlacote El Bajo,3,6699cc,000000
415,1,M227,El Zapote - Av De La Luz,3,6699cc,000000
416,1,M228,Tlacote El Alto - Tlacote El Bajo,3,6699cc,000000
417,1,M229,Las Lajitas - Fracc Hacienda Santa Rosa,3,6699cc,000000
418,1,C74,Lagunillas - Huimilpan,3,18b780,000000
419,1,M230,El Pie - La Tinaja De La Estancia,3,6699cc,000000
420,1,M231,Cerro Prieto - La Tinaja De La Estancia,3,6699cc,000000
421,1,M232,El Patol - Mompani,3,6699cc,000000
422,1,L165,Blvd Villas Del Meson - Cumbres Del Lago,3,f2ac32,000000
428,1,23,Tequisquiapan - Ezequiel Montes,3,555b5b,000000
429,1,62,San Juan Del Rio - Tequisquiapan,3,555b5b,000000
430,1,001,Pedregoso - Centro,3,a9745b,000000
431,1,002,Pedregoso - Universidad Tecnologica (utsjr),3,a9745b,000000
432,1,004,Col Industrial Nuevo San Juan - Centro,3,a9745b,000000
433,1,008,Central De Autobuses - San Isidro,3,a9745b,000000
434,1,009B,Fraccionamiento La Rueda - Centro,3,a9745b,000000
435,1,011,Loma Alta - Central De Autobuses,3,a9745b,000000
436,1,011B,Loma Alta - Centro,3,a9745b,000000
437,1,015B,Solares Banthi - 5 De Mayo,3,a9745b,000000
438,1,016,Infonavit La Paz - Centro,3,a9745b,000000
439,1,018,Nuevo San Isidro - Centro,3,a9745b,000000
